Plant ID,Length (px),Centroid,Image Name
75,18.555157333185402,"(1072.5, 1629.0)",test_image_1.png
76,4.82842712474619,"(1065.5, 1886.5)",test_image_1.png
77,4.618802153517006,"(1066.0, 2071.0)",test_image_1.png
78,17.508959248125112,"(1072.0666666666666, 1401.4666666666667)",test_image_1.png
79,36.26469289525623,"(1090.4146341463415, 2073.0975609756097)",test_image_1.png
80,14.582144712956966,"(1098.5, 1637.1666666666667)",test_image_1.png
81,23.376388748294197,"(1107.1176470588234, 1712.0)",test_image_1.png
82,52.218338846743364,"(1121.5, 1957.175)",test_image_1.png
83,5.77331086475517,"(1104.8, 1396.0)",test_image_1.png
84,16.107838421499377,"(1109.4166666666667, 2103.5)",test_image_1.png
85,70.23612484383368,"(1130.6734693877552, 2430.0)",test_image_1.png
86,10.401295161235195,"(1121.0, 1644.2222222222222)",test_image_1.png
87,6.361505880373266,"(1124.4, 2079.0)",test_image_1.png
88,10.956189250752155,"(1135.0, 1648.888888888889)",test_image_1.png
89,61.80207320652318,"(1148.0444444444445, 2043.0)",test_image_1.png
90,21.46727444104022,"(1144.5, 1723.7222222222222)",test_image_1.png
91,103.91768706456519,"(1182.5, 761.5)",test_image_1.png
92,28.23858240395799,"(1162.0, 1658.0869565217392)",test_image_1.png
93,50.47371659352303,"(1170.025641025641, 2193.897435897436)",test_image_1.png
94,17.30795002282456,"(1161.0, 1970.5384615384614)",test_image_1.png
95,25.771305000610287,"(1163.5555555555557, 2353.1666666666665)",test_image_1.png
96,9.412813247617912,"(1165.625, 2434.0)",test_image_1.png
97,10.91298065657484,"(1168.0, 2179.5)",test_image_1.png
98,10.624586369375441,"(1181.125, 1907.5)",test_image_1.png
99,5.77331086475517,"(1184.8, 1666.0)",test_image_1.png
100,26.20804415422847,"(1205.3333333333333, 2088.5)",test_image_1.png
101,5.912809357935427,"(1200.6, 2065.0)",test_image_1.png
102,17.773912485010122,"(1210.0833333333333, 1796.5)",test_image_1.png
103,32.433422226071926,"(1220.5, 1931.642857142857)",test_image_1.png
104,35.519080291142636,"(1239.4444444444443, 2173.222222222222)",test_image_1.png
105,40.143032058515175,"(1251.030303030303, 1851.1818181818182)",test_image_1.png
106,15.499528293864092,"(1247.3, 2045.5)",test_image_1.png
107,11.300410819388262,"(1249.111111111111, 1804.3333333333333)",test_image_1.png
108,16.251308726879234,"(1259.0, 1783.1666666666667)",test_image_1.png
109,19.67177289453207,"(1264.8666666666666, 2058.0)",test_image_1.png
110,6.623160316948245,"(1265.0, 2168.0)",test_image_1.png
111,24.121188255935788,"(1271.4375, 2011.125)",test_image_1.png
112,4.618802153517006,"(1276.0, 1843.0)",test_image_1.png
113,51.383061376029985,"(1299.0, 1749.8461538461538)",test_image_1.png
114,17.381424216923545,"(1303.9333333333334, 1838.4666666666667)",test_image_1.png
115,94.46033714861906,"(1338.987341772152, 2072.0379746835442)",test_image_1.png
116,18.534587135888568,"(1315.5, 1903.1875)",test_image_1.png
117,4.82842712474619,"(1320.5, 1916.5)",test_image_1.png
118,13.150816423748399,"(1338.0, 1902.090909090909)",test_image_1.png
119,6.140084590643223,"(1340.8, 1758.0)",test_image_1.png
120,5.656854249492381,"(1359.0, 1901.4)",test_image_1.png
121,193.1107331054118,"(1465.8115183246073, 974.8115183246073)",test_image_1.png
122,60.641990166572086,"(1405.4807692307693, 1901.3076923076924)",test_image_1.png
123,21.180556701900976,"(1398.5, 2051.214285714286)",test_image_1.png
124,13.84933190843442,"(1401.5, 1364.0)",test_image_1.png
125,17.17058082390528,"(1402.076923076923, 1856.7692307692307)",test_image_1.png
126,4.82842712474619,"(1403.5, 2092.5)",test_image_1.png
127,7.112980317297545,"(1408.5, 1015.0)",test_image_1.png
128,62.34324576846619,"(1444.5, 1253.537037037037)",test_image_1.png
129,128.68269413307382,"(1472.2752293577983, 3324.623853211009)",test_image_1.png
130,4.82842712474619,"(1426.5, 2650.5)",test_image_1.png
131,4.82842712474619,"(1434.5, 2650.5)",test_image_1.png
132,5.77331086475517,"(1437.8, 1988.0)",test_image_1.png
133,40.410334265257,"(1463.0, 1991.4571428571428)",test_image_1.png
134,9.697702361440594,"(1472.5, 3305.0)",test_image_1.png
135,50.47205424513686,"(1502.0, 1241.341463414634)",test_image_1.png
136,5.23606797749979,"(1491.0, 2648.5)",test_image_1.png
137,28.93691360736256,"(1498.157894736842, 1955.7368421052631)",test_image_1.png
138,4.680205767201096,"(1500.75, 2869.5)",test_image_1.png
139,69.32746739403824,"(1525.1, 932.42)",test_image_1.png
140,7.371162097949488,"(1511.3333333333333, 2858.5)",test_image_1.png
141,23.72201950092892,"(1519.1875, 2213.5)",test_image_1.png
